S/N,Level,Type,Part No,Part Rev,Part Status,Latest,Nomenclature,Drawing Sheets,Instance ID,Instance ID 총수량(D/L DB),Instance ID 총수량(ALL DB),Qty,NextPart
35958,10,Material,AMS-QQ-A-250/4-T62.-.S,A,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B6201-673
35960,10,Material,FMS-3002-T851.-.P,-,Release,T,ALUMINUM ALLOY 2124 PLATE,,,,,1.0,85B6333-053
35962,10,Material,FMS-3002-T851.-.P,-,Release,T,ALUMINUM ALLOY 2124 PLATE,,,,,1.0,85B6334-053
35964,10,Material,AMS-QQ-A-250/4-T62.-.S,A,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B6481-063
35966,10,Material,AMS-QQ-A-250/4-T62.-.S,A,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B6482-053
35968,10,Material,AMS-QQ-A-250/4-T62.-.S,A,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B6484-053
35970,10,Material,AMS-QQ-A-250/4-T62.-.S,A,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B6485-053
35972,10,Material,FMS-3002-T851.-.P,-,Release,T,ALUMINUM ALLOY 2124 PLATE,,,,,1.0,85P6921-005
35982,10,Material,AMS-QQ-A-250/4-T62.-.S,A,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B6201-655
35984,10,Material,AMS-A-21180&NOTED.ALLOY A357.0-T6 STRENGTH CLASS 10.C,-,Release,T,"ALUMINUM ALLOY CASTINGS, A357.0",,,,,1.0,85B6303-053
35986,10,Material,FMS-3002-T851.-.P,-,Release,T,ALUMINUM ALLOY 2124 PLATE,,,,,1.0,85B6333-055
35988,10,Material,FMS-3002-T851.-.P,-,Release,T,ALUMINUM ALLOY 2124 PLATE,,,,,1.0,85B6334-055
35990,10,Material,AMS-QQ-A-250/4-T62.-.S,A,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B6341-053
35992,10,Material,AMS-QQ-A-250/4-T62.-.P,-,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B6347-053
35994,10,Material,AMS-QQ-A-250/4-T62.-.S,A,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B6483-053
35996,10,Material,AMS-QQ-A-250/4-T62.-.S,A,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B6484-054
35998,10,Material,AMS-QQ-A-250/4-T62.-.S,A,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B6485-054
36000,10,Material,FMS-3002-T851.-.P,-,Release,T,ALUMINUM ALLOY 2124 PLATE,,,,,1.0,85B6488-053
36002,10,Material,FMS-3002-T851.-.P,-,Release,T,ALUMINUM ALLOY 2124 PLATE,,,,,1.0,85B6488-055
36029,10,Material,FMS-3008-T851.-.P,-,Release,T,ALUMINUM ALLOY 2124 PLATE,,,,,1.0,85B6171-053
36035,10,Material,FMS-3002-T851.-.P,-,Release,T,ALUMINUM ALLOY 2124 PLATE,,,,,1.0,85B6198-055
36037,10,Material,AMS-QQ-A-250/4-T81.-.S,-,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B6235-055
36082,10,Material,FMS-3002-T851.-.P,-,Release,T,ALUMINUM ALLOY 2124 PLATE,,,,,1.0,85B6368-653
36087,10,Material,FMS-3002-T851.-.P,-,Release,T,ALUMINUM ALLOY 2124 PLATE,,,,,1.0,85B6368-655
36092,10,Material,AMS-QQ-A-250/4-T851.-.P,-,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B6376-053
36094,10,Material,85TK0060A310T8511.SEE 85TK-STD.BE,-,Release,T,EXTRUSION,,,,,1.0,85B6376-057
36096,10,Material,AMS-QQ-A-250/4-T851.-.P,-,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B6376-059
36215,10,Material,AMS-QQ-A-250/4-T62.-.S,A,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B6193-603
36217,10,Material,AMS-QQ-A-250/4-T62.-.S,A,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B6359-053
36219,10,Material,AMS-QQ-A-250/4-T62.-.S,A,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B6359-055
36240,10,Material,AMS-QQ-A-250/4-T62.-.S,A,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B6195-655
36242,10,Material,AMS-QQ-A-250/4-T62.-.S,A,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B6231-053
36244,10,Material,AMS-QQ-A-250/4-T62.-.S,A,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85B6231-054
36308,10,Material,AMS 5520.-.S,-,Release,T,"CRES SHEET, STRIP, AND PLATE, PH15-7MO",,,,,1.0,85B6103-003
36310,10,Material,AMS 5520.-.S,-,Release,T,"CRES SHEET, STRIP, AND PLATE, PH15-7MO",,,,,1.0,85B6103-005
36312,10,Material,AMS 5520.-.S,-,Release,T,"CRES SHEET, STRIP, AND PLATE, PH15-7MO",,,,,1.0,85B6103-007
36314,10,Material,AMS 5520.-.S,-,Release,T,"CRES SHEET, STRIP, AND PLATE, PH15-7MO",,,,,1.0,85B6103-009
36316,10,Material,AMS 5520.-.S,-,Release,T,"CRES SHEET, STRIP, AND PLATE, PH15-7MO",,,,,1.0,85B6103-013
36318,10,Material,AMS 5520.-.S,-,Release,T,"CRES SHEET, STRIP, AND PLATE, PH15-7MO",,,,,1.0,85B6103-015
36320,10,Material,AMS 5520.-.S,-,Release,T,"CRES SHEET, STRIP, AND PLATE, PH15-7MO",,,,,1.0,85B6103-017
36324,10,Material,AMS 5520.-.S,-,Release,T,"CRES SHEET, STRIP, AND PLATE, PH15-7MO",,,,,1.0,85B6104-003
36326,10,Material,AMS 5520.-.S,-,Release,T,"CRES SHEET, STRIP, AND PLATE, PH15-7MO",,,,,1.0,85B6104-009
36328,10,Material,AMS 5520.-.S,-,Release,T,"CRES SHEET, STRIP, AND PLATE, PH15-7MO",,,,,1.0,85B6104-013
36330,10,Material,AMS 5520.-.S,-,Release,T,"CRES SHEET, STRIP, AND PLATE, PH15-7MO",,,,,1.0,85B6104-015
36332,10,Material,AMS 5520.-.S,-,Release,T,"CRES SHEET, STRIP, AND PLATE, PH15-7MO",,,,,1.0,85B6104-017
